company_name,company_code,agency,rating,action,announcement_date,fiscal_year,ticker,liquid,cumprof,profitab,leverage
Saudi Telecom Company (STC),7010,Tassnief,AAA,maintained,11/2021,2021,7010.SR,0.14014402648276286,0.2972670551470743,0.10372577455099831,1.26585612673588
Etihad Etisalat (Mobily),7020,Tassnief,AA-,maintained,11/2023,2023,7020.SR,-0.043632031808291234,0.18634970792208128,0.08005506776479242,0.8285822830459388
Etihad Etisalat (Mobily),7020,Tassnief,A+,maintained,11/2022,2022,7020.SR,-0.05079259725686961,0.15504860355154815,0.06185786787670896,0.7497124737250596
Etihad Etisalat (Mobily),7020,Tassnief,A+,maintained,11/2021,2021,7020.SR,-0.07616451598250865,0.12407972805952092,0.04152285896004025,0.6287842820708102
Dar Al Arkan Real Estate,4300,Tassnief,A-,maintained,01/2025,2024,4300.SR,0.09899372017850894,0.24269843316047207,0.02193045834970889,1.332157160437054
Dar Al Arkan Real Estate,4300,Tassnief,A-,maintained,01/2024,2023,4300.SR,0.15353024295962384,0.24205581384735078,0.018641965022808887,1.5184643186105835
Dar Al Arkan Real Estate,4300,Tassnief,A-,maintained,01/2023,2022,4300.SR,0.1334634804145144,0.22677177022201003,0.017585372394287053,1.4094841906788724
Dar Al Arkan Real Estate,4300,Tassnief,A-,maintained,01/2022,2021,4300.SR,0.14244942693875917,0.22541002225164636,0.004241360278934024,1.4966064028807886
Alkhorayef Water & Power,2081,Tassnief,A-,maintained,12/2023,2023,2081.SR,0.28655837579163096,0.13852093029371634,0.11547556263306949,0.4616737853536782
Alkhorayef Water & Power,2081,Tassnief,BBB+,maintained,12/2022,2022,2081.SR,0.2358290171628868,0.09248951178530733,0.11480314452603925,0.5038994997971336
Perfect Presentation (2P),2133,Tassnief,BBB+,maintained,12/2024,2024,2133.SR,,,,
Perfect Presentation (2P),2133,Tassnief,BBB+,maintained,12/2023,2023,2133.SR,,,,
Perfect Presentation (2P),2133,Tassnief,BBB,maintained,12/2022,2022,2133.SR,,,,
Quara Finance Company,4291,Tassnief,BBB-,maintained,12/2024,2024,4291.SR,,,,
Quara Finance Company,4291,Tassnief,BBB-,maintained,12/2023,2023,4291.SR,-0.025774352280457814,0.0936868820488544,0.0853487852842368,1.1202450751366657
Sumou Real Estate Company,9511,Tassnief,BBB+,maintained,07/2024,2023,9511.SR,,,,
Sumou Real Estate Company,9511,Tassnief,BBB+,maintained,07/2023,2022,9511.SR,,,,
SABIC,2010,Fitch,A+,affirmed,11/2024,2024,2010.SR,0.16546571367929075,0.07214108004562124,0.025031390593800613,1.9544837391850092
SABIC,2010,Fitch,A,affirmed,06/2023,2023,2010.SR,0.1623883407937302,0.09550953164345821,0.023515128047684117,1.9706019837290012
SABIC,2010,Fitch,A,affirmed,06/2022,2022,2010.SR,0.18723287724801357,0.10248426971894936,0.08531532009192917,2.278987802915612
SABIC,2010,Fitch,A,affirmed,06/2021,2021,2010.SR,0.17886227656737264,0.08703328099789837,0.11220723081219425,1.9701385660222375
SABIC,2010,Fitch,A,affirmed,06/2020,2020,2010.SR,,,,
SABIC,2010,Fitch,A-,affirmed,06/2019,2019,2010.SR,,,,
